Name,Name_encoding,Location,Location_encoding,Year,year_encoding,Kilometers_Driven,Fuel_codes,Fuel_Type,Transmission,Transmission_codes,Owner_Type,owner_encoding,Mileage,Engine,Power,Seats,New_Price,Price
BMW 3 Series 320d Highline,78,Chennai,2,2010,12,83000,1,Diesel,Automatic,0,First,0,16.07,1995,181,5,,12.75
Ford Figo Petrol Titanium,333,Delhi,4,2011,13,65000,4,Petrol,Manual,1,First,0,15.6,1196,70,5,,2.4
Volkswagen Ameo 1.2 MPI Trendline,1791,Kochi,7,2018,20,46007,4,Petrol,Manual,1,First,0,17,1198,73.75,5,,5.71
Ford Ecosport 1.5 DV5 MT Trend,259,Kochi,7,2015,17,65925,1,Diesel,Manual,1,Second,2,22.7,1498,89.84,5,,5.49
Honda City 1.3 EXI,411,Pune,10,2004,6,73500,4,Petrol,Manual,1,Second,2,13,1343,90,5,,1.3
Mahindra XUV500 W6 2WD,921,Kolkata,8,2014,16,55000,1,Diesel,Manual,1,First,0,16,2179,140,7,,8.5
Toyota Fortuner 4x2 Manual,1736,Delhi,4,2012,14,115000,1,Diesel,Manual,1,First,0,13,2982,168.5,7,,12.99
Hyundai Grand i10 1.2 Kappa Magna,558,Kolkata,8,2017,19,31184,4,Petrol,Manual,1,First,0,18.9,1197,81.86,5,6.4 Lakh,5
Maruti Dzire AMT ZDI Plus,1041,Pune,10,2017,19,41747,1,Diesel,Automatic,0,First,0,28.4,1248,73.75,5,11.26 Lakh,9
Maruti Swift VDI,1159,Kochi,7,2016,18,38143,1,Diesel,Manual,1,First,0,22.9,1248,74,5,,5.22
Volkswagen Polo Petrol Highline 1.2L,1832,Pune,10,2012,14,19030,4,Petrol,Manual,1,First,0,16.47,1198,73.9,5,,3.8
Toyota Etios Liva 1.2 VX Dual Tone,1715,Coimbatore,3,2019,21,20877,4,Petrol,Manual,1,First,0,18.16,1197,78.9,5,7.59 Lakh,7.27
Maruti Swift VXI,1165,Mumbai,9,2016,18,23555,4,Petrol,Manual,1,First,0,22,1197,81.8,5,7 Lakh,5.1
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,1257,Bangalore,1,2013,15,29000,1,Diesel,Automatic,0,First,0,14.21,2143,203,5,,29
Maruti Wagon R VXI,1207,Pune,10,2013,15,61000,4,Petrol,Manual,1,First,0,18.9,998,67.1,5,,2.9
Tata Nano Lx BSIV,1621,Kochi,7,2012,14,4187,4,Petrol,Manual,1,First,0,26,624,35,4,,1.38
Skoda Laura 1.8 TSI Ambiente,1478,Bangalore,1,2011,13,46000,4,Petrol,Manual,1,First,0,13.4,1798,157.8,5,,5.5
Volkswagen Polo GT TSI,1828,Mumbai,9,2016,18,28000,4,Petrol,Automatic,0,First,0,17.21,1197,103.5,5,11.26 Lakh,7.25
Hyundai Verna 1.6 SX,633,Coimbatore,3,2014,16,83558,1,Diesel,Manual,1,First,0,22.32,1582,126.32,5,,6.98
Tata Bolt Quadrajet XE,1560,Hyderabad,5,2017,19,40000,1,Diesel,Manual,1,First,0,22.95,1248,74,5,7.43 Lakh,5.25
Hyundai EON D Lite Plus,526,Kolkata,8,2013,15,36000,4,Petrol,Manual,1,First,0,21.1,814,55.2,5,,1.95
Audi A4 2.0 TDI 177 Bhp Premium Plus,8,Bangalore,1,2014,16,21000,1,Diesel,Automatic,0,First,0,17.11,1968,174.33,5,,24.5
Toyota Innova 2.5 GX (Diesel) 7 Seater,1752,Kochi,7,2013,15,62162,1,Diesel,Manual,1,First,0,12.99,2494,100,7,,8.31
Mercedes-Benz M-Class ML 350 CDI,1300,Hyderabad,5,2012,14,83000,1,Diesel,Automatic,0,First,0,11.74,2987,254.8,5,,36
Hyundai Xcent 1.1 CRDi S,668,Pune,10,2015,17,58000,1,Diesel,Manual,1,First,0,24.4,1120,71,5,,5.5
Honda Accord 2.4 AT,347,Kochi,7,2011,13,62332,4,Petrol,Automatic,0,First,0,11.7,2354,177.6,5,,5.89
Volkswagen Vento 1.5 TDI Highline,1840,Kochi,7,2016,18,50867,1,Diesel,Manual,1,First,0,20.34,1498,103.2,5,,7.95
Hyundai i20 Sportz Petrol,771,Mumbai,9,2010,12,73000,4,Petrol,Manual,1,First,0,17,1197,80,5,,2.75
Hyundai Elantra CRDi SX,539,Jaipur,6,2012,14,98008,1,Diesel,Manual,1,First,0,22.7,1582,126.24,5,,6.25
Ford Figo Diesel Titanium,329,Hyderabad,5,2015,17,36000,1,Diesel,Manual,1,First,0,20,1399,68.05,5,,4.95
Hyundai i20 1.2 Magna Executive,715,Kochi,7,2019,21,27339,4,Petrol,Manual,1,First,0,18.6,1197,81.83,5,,6.27
Hyundai Verna 1.6 CRDi SX,631,Kolkata,8,2017,19,25000,1,Diesel,Manual,1,First,0,23.9,1582,126.2,5,,8.65
Hyundai Grand i10 Asta,564,Kolkata,8,2014,16,37000,4,Petrol,Manual,1,First,0,18.9,1197,82,5,,3.5
Audi Q5 2.0 TDI,48,Hyderabad,5,2015,17,56000,1,Diesel,Automatic,0,First,0,14.16,1968,174.3,5,,35
Maruti Swift Dzire ZXi,1146,Kolkata,8,2015,17,27000,4,Petrol,Manual,1,First,0,17.5,1298,85.8,5,,4.45
Hyundai i20 Magna,758,Kolkata,8,2012,14,37000,4,Petrol,Manual,1,First,0,18.5,1197,80,5,,2.65
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,844,Kolkata,8,2017,19,10500,1,Diesel,Manual,1,First,0,25.32,1198,77,5,,4.7
Hyundai Elantra 1.6 SX Option AT,535,Ahmedabad,0,2014,16,49000,1,Diesel,Automatic,0,First,0,18.23,1582,126.2,5,22.43 Lakh,8.9
Jeep Compass 2.0 Limited Option Black,792,Mumbai,9,2017,19,7000,1,Diesel,Manual,1,First,0,17.1,1956,170,5,24.02 Lakh,17.45
Maruti Vitara Brezza VDi Option,1181,Coimbatore,3,2017,19,71256,1,Diesel,Manual,1,First,0,24.3,1248,88.5,5,,9.58
Toyota Corolla Altis 1.8 GL,1681,Kochi,7,2012,14,83184,4,Petrol,Manual,1,First,0,14.28,1798,138.03,5,21.69 Lakh,6.22
Mahindra XUV500 W8 2WD,924,Kolkata,8,2013,15,87284,1,Diesel,Manual,1,First,0,15.1,2179,140,7,,7.8
BMW X1 xDrive 20d xLine,137,Mumbai,9,2016,18,7000,1,Diesel,Automatic,0,First,0,20.68,1995,190,5,,27.75
Hyundai i20 Magna 1.4 CRDi,760,Pune,10,2015,17,29000,1,Diesel,Manual,1,Second,2,22.54,1396,88.73,5,,7
Mercedes-Benz GLE 350d,1294,Coimbatore,3,2017,19,33552,1,Diesel,Automatic,0,First,0,11.57,2987,254.79,5,95.13 Lakh,64.87
Chevrolet Cruze LTZ,175,Bangalore,1,2013,15,64000,1,Diesel,Manual,1,Second,2,17.3,1998,163.7,5,,6.5
Hyundai i20 1.2 Magna,714,Jaipur,6,2011,13,82000,4,Petrol,Manual,1,Second,2,18.5,1197,80,5,,2.7
Honda Brio S MT,391,Mumbai,9,2012,14,70000,4,Petrol,Manual,1,Second,2,19.4,1198,86.8,5,,2.5
Nissan Evalia 2013 XL,1372,Hyderabad,5,2013,15,166194,1,Diesel,Manual,1,First,0,19.3,1461,84.8,7,,3.9
Volkswagen Polo Petrol Trendline 1.2L,1834,Delhi,4,2015,17,58000,4,Petrol,Manual,1,First,0,16.47,1198,73.9,5,,3.95
Hyundai i10 Sportz 1.2,706,Chennai,2,2010,12,77000,4,Petrol,Manual,1,Second,2,20.36,1197,78.9,5,,2.1
Chevrolet Cruze LTZ AT,176,Pune,10,2009,11,73204,1,Diesel,Automatic,0,Third,3,18.1,1991,147.9,4,,3.5
Hyundai i10 Era,691,Hyderabad,5,2007,9,70000,4,Petrol,Manual,1,Second,2,19.81,1086,68.05,5,,2
Maruti Ertiga VDI,1059,Delhi,4,2014,16,79870,1,Diesel,Manual,1,First,0,20.77,1248,88.76,7,,5.35
Honda Amaze S i-Dtech,367,Delhi,4,2013,15,90000,1,Diesel,Manual,1,First,0,25.8,1498,98.6,5,,3.8
Mercedes-Benz A Class A180 Sport,1236,Mumbai,9,2016,18,17000,4,Petrol,Automatic,0,First,0,15.5,1595,122,5,34.63 Lakh,17.25
Hyundai Grand i10 1.2 Kappa Magna,558,Kochi,7,2018,20,46493,4,Petrol,Manual,1,First,0,18.9,1197,81.86,5,6.32 Lakh,5.53
Hyundai i10 Sportz 1.2,706,Pune,10,2009,11,68000,4,Petrol,Manual,1,Third,3,20.36,1197,78.9,5,,1.95
Maruti Swift DDiS ZDI Plus,1125,Hyderabad,5,2017,19,2000,1,Diesel,Manual,1,First,0,28.4,1248,74,5,,8.2
Honda City 1.3 EXI,411,Pune,10,1999,1,140000,4,Petrol,Manual,1,First,0,13,1343,90,5,,0.9
Toyota Innova 2.5 GX (Diesel) 7 Seater,1752,Pune,10,2013,15,255000,1,Diesel,Manual,1,Third,3,12.99,2494,100.6,7,,6.5
Mini Cooper Countryman D High,1352,Coimbatore,3,2014,16,45535,1,Diesel,Automatic,0,First,0,23.8,1998,112,5,,19.41
Fiat Linea T-Jet Active,223,Coimbatore,3,2016,18,39228,4,Petrol,Manual,1,First,0,15.7,1368,112.4,5,,6.58
Chevrolet Aveo 1.4 LT,160,Mumbai,9,2011,13,57000,4,Petrol,Manual,1,Second,2,14.49,1399,92.7,5,,2.1
Hyundai i10 Era 1.1,692,Chennai,2,2008,10,85445,4,Petrol,Manual,1,Second,2,19.81,1086,68.05,5,,2
Hyundai Xcent 1.1 CRDi Base,667,Delhi,4,2015,17,54000,1,Diesel,Manual,1,First,0,24.4,1120,71,5,,3.7
Maruti Celerio VXI AT,1005,Mumbai,9,2014,16,53000,4,Petrol,Automatic,0,First,0,23.1,998,67.04,5,,3.8
Hyundai i10 Sportz,704,Jaipur,6,2014,16,60000,4,Petrol,Manual,1,First,0,20.36,1197,78.9,5,,3.25
Renault Duster 85PS Diesel RxL,1440,Coimbatore,3,2015,17,65668,1,Diesel,Manual,1,First,0,19.87,1461,83.8,5,,5.53
BMW 3 Series 320d,74,Ahmedabad,0,2011,13,100000,1,Diesel,Automatic,0,Second,2,22.69,1995,190,5,43.31 Lakh,10.9
Hyundai Grand i10 Sportz,577,Kolkata,8,2018,20,1800,4,Petrol,Manual,1,First,0,18.9,1197,82,5,,5.1
Hyundai Santro DX,585,Hyderabad,5,2007,9,96000,4,Petrol,Manual,1,Second,2,0,999,null ,5,,2.2
Chevrolet Spark 1.0 LS,197,Pune,10,2009,11,44200,4,Petrol,Manual,1,Second,2,18,995,62,5,,1.6
Honda City i VTEC VX Option,452,Ahmedabad,0,2018,20,14000,4,Petrol,Manual,1,First,0,17.4,1497,117.3,5,,11.25
Volkswagen Vento Diesel Highline,1848,Chennai,2,2013,15,720000,1,Diesel,Manual,1,First,0,20.54,1598,103.6,5,,5.9
Toyota Fortuner 4x2 4 Speed AT,1732,Delhi,4,2012,14,73000,1,Diesel,Automatic,0,First,0,11.5,2982,169,7,,14.4
Honda City 1.5 S MT,419,Delhi,4,2011,13,68000,4,Petrol,Manual,1,First,0,17,1497,118,5,,3.6
BMW 5 Series 2013-2017 520d Luxury Line,105,Jaipur,6,2017,19,19543,1,Diesel,Automatic,0,First,0,18.12,1995,190,5,,40.5
Audi Q5 30 TDI quattro Premium Plus,57,Bangalore,1,2014,16,38000,1,Diesel,Automatic,0,Second,2,14.16,1968,174.3,5,,38.95
Maruti Ritz LDi,1088,Delhi,4,2014,16,32805,1,Diesel,Manual,1,First,0,23.2,1248,73.94,5,,3.6
Volkswagen Vento 1.5 TDI Highline AT,1841,Kochi,7,2016,18,44782,1,Diesel,Automatic,0,First,0,21.21,1498,103.2,5,,7.12
Honda City i DTEC SV,436,Kochi,7,2016,18,55700,1,Diesel,Manual,1,First,0,26,1498,98.6,5,,7.52
Audi A4 New 2.0 TDI Multitronic,23,Delhi,4,2012,14,60000,1,Diesel,Automatic,0,Second,2,15.2,1968,140.8,5,,10.35
Skoda Rapid 1.6 MPI Elegance,1531,Hyderabad,5,2014,16,56000,4,Petrol,Manual,1,First,0,15,1598,103.52,5,,7
Toyota Fortuner 3.0 Diesel,1731,Delhi,4,2011,13,60000,1,Diesel,Manual,1,First,0,11.5,2982,171,7,,10.85
Chevrolet Optra Magnum 2.0 LT BS3,191,Mumbai,9,2010,12,78563,1,Diesel,Manual,1,First,0,16.52,1991,123.7,5,,2.35
Maruti Eeco 7 Seater Standard,1051,Mumbai,9,2014,16,34669,4,Petrol,Manual,1,First,0,15.1,1196,73,7,4.71 Lakh,2.9
Maruti Ciaz ZXi,1035,Delhi,4,2017,19,17000,4,Petrol,Manual,1,First,0,20.73,1373,91.1,5,,7.65
Maruti Ciaz VDi Plus SHVS,1029,Delhi,4,2016,18,66000,1,Diesel,Manual,1,First,0,28.09,1248,88.5,5,,6.4
Toyota Innova 2.5 LE 2014 Diesel 7 Seater,1758,Pune,10,2014,16,102418,1,Diesel,Manual,1,First,0,12.99,2494,100.6,7,,10.1
Maruti Swift Dzire VXI,1138,Kolkata,8,2014,16,48800,4,Petrol,Manual,1,First,0,19.1,1197,85.8,5,,4.25
Toyota Innova Crysta 2.8 GX AT,1777,Kochi,7,2019,21,10601,1,Diesel,Automatic,0,First,0,11.36,2755,171.5,7,20.74 Lakh,19.65
Tata Indica V2 eLX,1578,Pune,10,2017,19,8200,1,Diesel,Manual,1,First,0,25,1396,69,5,,4.4
Hyundai i20 Magna,758,Jaipur,6,2012,14,100000,4,Petrol,Manual,1,First,0,18.5,1197,82.85,5,,3.25
Ford Fiesta 1.4 Duratorq ZXI,283,Pune,10,2012,14,78000,1,Diesel,Manual,1,First,0,17.8,1399,68,5,,2.8
Chevrolet Enjoy 1.3 TCDi LS 8,177,Kolkata,8,2015,17,50000,1,Diesel,Manual,1,First,0,18.2,1248,73.74,8,,4.3
Ford Fiesta 1.4 Duratorq EXI,282,Chennai,2,2006,8,89327,1,Diesel,Manual,1,Third,3,17.8,1399,68,5,,1.55
Honda CR-V 2.4 MT,402,Chennai,2,2007,9,98000,4,Petrol,Manual,1,Second,2,10.8,2354,152,5,,4.7
Honda Jazz 1.2 VX i VTEC,476,Kochi,7,2017,19,24700,4,Petrol,Manual,1,First,0,18.7,1199,88.7,5,,7.07
Mercedes-Benz GLS 350d Grand Edition,1296,Delhi,4,2018,20,6000,1,Diesel,Automatic,0,First,0,11,2987,258,7,1.02 Cr,79
Hyundai Grand i10 1.2 Kappa Sportz,560,Delhi,4,2018,20,9434,4,Petrol,Manual,1,First,0,18.9,1197,81.86,5,6.71 Lakh,5.75
Maruti Ritz VXi,1095,Mumbai,9,2012,14,29000,4,Petrol,Manual,1,First,0,18.5,1197,85.8,5,,3.25
Volkswagen Ameo 1.5 TDI Highline AT,1795,Coimbatore,3,2017,19,22440,1,Diesel,Automatic,0,First,0,22,1498,108.495,5,,8.89
Honda City i VTEC SV,449,Mumbai,9,2015,17,73070,4,Petrol,Manual,1,First,0,17.4,1497,117.3,5,,5.9
Honda Jazz 1.2 S i VTEC,471,Kolkata,8,2016,18,21771,4,Petrol,Manual,1,First,0,18.7,1199,88.7,5,,4.95
Maruti Swift Ldi BSIV,1156,Delhi,4,2014,16,62000,1,Diesel,Manual,1,First,0,17.8,1248,75,5,,3.75
Hyundai Creta 1.6 CRDi AT SX Plus,510,Kochi,7,2017,19,37024,1,Diesel,Automatic,0,First,0,17.01,1582,126.2,5,,10.97
Audi A7 2011-2015 3.0 TDI Quattro,37,Kochi,7,2014,16,60336,1,Diesel,Automatic,0,Second,2,14.4,2967,241.4,5,,24.94
Hyundai EON D Lite Plus,526,Kolkata,8,2014,16,26008,4,Petrol,Manual,1,First,0,21.1,814,55.2,5,,1.97
Ford Figo Diesel EXI,326,Jaipur,6,2010,12,90000,1,Diesel,Manual,1,Second,2,20,1399,68,5,,1.4
Volkswagen Ameo 1.2 MPI Highline,1788,Coimbatore,3,2018,20,35569,4,Petrol,Manual,1,First,0,17,1198,73.75,5,8.68 Lakh,7.27
Renault Scala Diesel RxL,1466,Kolkata,8,2013,15,40000,1,Diesel,Manual,1,First,0,21.64,1461,84.8,5,,4
Honda Jazz 1.2 V i VTEC,475,Kolkata,8,2015,17,45000,4,Petrol,Manual,1,First,0,18.7,1199,88.7,5,,4.75
Hyundai i20 1.2 Sportz,716,Delhi,4,2015,17,42000,4,Petrol,Manual,1,First,0,17,1197,80,5,,5.1
Audi A4 3.0 TDI Quattro Premium,15,Coimbatore,3,2012,14,46913,1,Diesel,Automatic,0,First,0,14.94,2967,241.4,5,,16.11
Mahindra Ssangyong Rexton RX7,901,Delhi,4,2014,16,62000,1,Diesel,Automatic,0,First,0,11.18,2696,184,7,,10.55
Toyota Fortuner 2.8 2WD AT,1728,Ahmedabad,0,2017,19,15000,1,Diesel,Automatic,0,First,0,12.9,2755,174.5,7,34.45 Lakh,30
Skoda Octavia Classic 1.9 TDI MT,1501,Kolkata,8,2002,4,69000,1,Diesel,Manual,1,First,0,18.7,1896,66,5,,1.6
Mercedes-Benz New C-Class 250 CDI Classic,1310,Hyderabad,5,2012,14,41367,1,Diesel,Automatic,0,First,0,15.8,2148,170,5,,18.49
Maruti Ciaz 1.4 Zeta,1021,Kochi,7,2018,20,15982,4,Petrol,Manual,1,First,0,20.73,1373,91.1,5,,9.96
Maruti Swift ZDi,1173,Hyderabad,5,2013,15,99595,1,Diesel,Manual,1,Second,2,22.9,1248,74,5,,4.75
Toyota Qualis FS B3,1783,Bangalore,1,2002,4,63000,1,Diesel,Manual,1,Third,3,13.1,2446,75,10,,3.65
BMW 5 Series 2007-2010 525d Sedan,102,Delhi,4,2012,14,49000,1,Diesel,Automatic,0,Second,2,16.73,2495,218,5,,15.5
Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,1365,Kochi,7,2013,15,48272,1,Diesel,Manual,1,First,0,10.5,2835,116.9,6,,11.82
Toyota Corolla H2,1702,Delhi,4,2008,10,63000,4,Petrol,Manual,1,First,0,13.4,1794,125,5,,2.05
Maruti Wagon R LXI CNG,1200,Ahmedabad,0,2016,18,77000,0,CNG,Manual,1,First,0,26.6,998,58.16,5,,3.3
Maruti Omni E MPI STD BS IV,1083,Mumbai,9,2013,15,11734,4,Petrol,Manual,1,First,0,16.8,796,34.2,8,,2.25
Audi A6 2011-2015 2.0 TDI,27,Kochi,7,2014,16,62012,1,Diesel,Automatic,0,First,0,17.68,1968,174.33,5,,20.12
Hyundai Xcent 1.2 Kappa S Option CNG,680,Chennai,2,2017,19,46000,0,CNG,Manual,1,First,0,25,1197,81.86,5,,4.95
Honda Jazz 1.5 S i DTEC,477,Coimbatore,3,2016,18,45449,1,Diesel,Manual,1,First,0,27.3,1498,98.6,5,,7.48
Mercedes-Benz E-Class 200 Kompressor Elegance,1248,Mumbai,9,2004,6,85000,4,Petrol,Automatic,0,Second,2,10.5,1796,157.7,5,,5.5
Honda City 1.5 EXI,414,Jaipur,6,2005,7,88000,4,Petrol,Manual,1,Second,2,13,1493,100,0,,1.7
Audi A4 2.0 TDI,7,Kochi,7,2013,15,45330,1,Diesel,Automatic,0,First,0,16.55,1968,147.51,5,,13.19
Maruti Swift Dzire VXI,1138,Mumbai,9,2012,14,88000,4,Petrol,Manual,1,First,0,19.1,1197,85.8,5,,3.85
Maruti Dzire VDI,1045,Delhi,4,2016,18,45376,1,Diesel,Manual,1,First,0,28.4,1248,73.75,5,8.58 Lakh,5.75
Mahindra XUV500 W8 4WD,925,Pune,10,2014,16,81000,1,Diesel,Manual,1,First,0,15.1,2179,140,7,,9
Chevrolet Beat LT,170,Kochi,7,2012,14,83381,4,Petrol,Manual,1,First,0,18.6,1199,79.4,5,,2.21
Ford EcoSport 1.5 Diesel Titanium Plus,239,Kochi,7,2017,19,78526,1,Diesel,Manual,1,First,0,23,1498,98.96,5,12.67 Lakh,8.09
BMW 5 Series 2013-2017 530d M Sport,108,Coimbatore,3,2017,19,27313,1,Diesel,Automatic,0,First,0,14.69,2993,258,5,,48.63
Audi Q5 30 TDI quattro Premium Plus,57,Coimbatore,3,2015,17,42747,1,Diesel,Automatic,0,Second,2,14.16,1968,174.3,5,,39.47
BMW X1 sDrive 20d xLine,134,Coimbatore,3,2015,17,42265,1,Diesel,Automatic,0,Second,2,20.68,1995,190,5,48.18 Lakh,22.24
Hyundai i10 Magna AT,700,Mumbai,9,2009,11,21000,4,Petrol,Automatic,0,First,0,19.2,1197,80,5,,2.6
Hyundai Creta 1.6 CRDi AT SX Plus,510,Ahmedabad,0,2016,18,55100,1,Diesel,Automatic,0,First,0,17.01,1582,126.2,5,,12
Audi A4 2.0 TDI 177 Bhp Premium Plus,8,Chennai,2,2014,16,70000,1,Diesel,Automatic,0,First,0,17.11,1968,174.33,5,,18
Mercedes-Benz S Class 2005 2013 S 350 L,1336,Mumbai,9,2007,9,55000,4,Petrol,Automatic,0,Third,3,10.13,3498,364.9,5,,9.99
Hyundai i10 Magna,694,Kolkata,8,2012,14,58235,4,Petrol,Manual,1,First,0,20.36,1197,78.9,5,,2.45
Ford EcoSport 1.5 Diesel Titanium,238,Mumbai,9,2017,19,26000,1,Diesel,Manual,1,First,0,23,1498,98.96,5,11.89 Lakh,8.99
Volkswagen Vento Diesel Highline,1848,Kolkata,8,2011,13,35000,1,Diesel,Manual,1,First,0,20.54,1598,103.6,5,,3.15
Maruti Dzire ZDI Plus,1048,Jaipur,6,2017,19,24000,1,Diesel,Manual,1,First,0,28.4,1248,73.75,5,10.48 Lakh,8.2
Mahindra Scorpio 1.99 S10,862,Ahmedabad,0,2016,18,98000,1,Diesel,Manual,1,First,0,15.4,1997,120,7,,11.5
Hyundai i20 Asta 1.4 CRDi,751,Coimbatore,3,2016,18,44487,1,Diesel,Manual,1,First,0,22.54,1396,88.73,5,,7.3
Maruti Alto LXi,970,Chennai,2,2008,10,65000,4,Petrol,Manual,1,First,0,19.7,796,46.3,5,,1.59
Hyundai i10 Magna,694,Delhi,4,2015,17,34951,4,Petrol,Manual,1,Second,2,20.36,1197,78.9,5,,3.15
Mahindra Scorpio S6 7 Seater,883,Kolkata,8,2015,17,52373,1,Diesel,Manual,1,Second,2,15.4,2179,120,7,,8.5
Skoda Fabia 1.2L Diesel Classic,1474,Hyderabad,5,2010,12,66285,1,Diesel,Manual,1,First,0,19.5,1199,75,5,,3
BMW X5 xDrive 30d,149,Mumbai,9,2012,14,66000,1,Diesel,Automatic,0,First,0,15.3,2993,258,5,,21
Honda Jazz 1.5 S i DTEC,477,Hyderabad,5,2016,18,43000,1,Diesel,Manual,1,First,0,27.3,1498,98.6,5,,7.75
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,1251,Mumbai,9,2013,15,45200,1,Diesel,Automatic,0,First,0,10,2148,170,5,,23
Mahindra XUV500 AT W10 FWD,914,Mumbai,9,2016,18,41000,1,Diesel,Automatic,0,First,0,16,2179,140,7,,13.75
Honda City i VTEC CVT SV,445,Kochi,7,2017,19,39430,4,Petrol,Automatic,0,First,0,18,1497,117.3,5,,8.29
Maruti Swift VDI,1159,Coimbatore,3,2014,16,83274,1,Diesel,Manual,1,First,0,22.9,1248,74,5,,5.79
Mercedes-Benz New C-Class 220 CDI AT,1307,Coimbatore,3,2017,19,32324,1,Diesel,Automatic,0,First,0,14.84,2143,170,5,,30.5
Honda City 1.5 S MT,419,Mumbai,9,2011,13,49999,4,Petrol,Manual,1,First,0,17,1497,118,5,,3.8
Tata Sumo EX,1645,Bangalore,1,2014,16,66000,1,Diesel,Manual,1,First,0,15.3,2956,83.8,7,,4.45
Hyundai i20 Magna,758,Delhi,4,2012,14,54000,4,Petrol,Manual,1,First,0,18.5,1197,82.85,5,,3.3
Fiat Linea 1.3 Dynamic,216,Jaipur,6,2009,11,80000,1,Diesel,Manual,1,Second,2,20.4,1248,91.2,5,,1.75
Honda Civic 2006-2010 1.8 V AT,465,Bangalore,1,2011,13,72000,4,Petrol,Automatic,0,Second,2,12.9,1799,130,5,,5.5
Hyundai Creta 1.6 SX Plus Diesel,518,Pune,10,2017,19,44865,1,Diesel,Manual,1,First,0,19.67,1582,126.2,5,,13.35
Audi A3 35 TDI Technology,4,Delhi,4,2017,19,22000,1,Diesel,Automatic,0,Second,2,20.38,1968,143,5,,22.5
Hyundai Verna VTVT 1.6 SX Option,664,Delhi,4,2013,15,57478,4,Petrol,Manual,1,Second,2,17,1591,121.3,5,13.59 Lakh,5.25
Hyundai i20 1.4 CRDi Magna,725,Hyderabad,5,2011,13,75000,1,Diesel,Manual,1,First,0,21.9,1396,90,5,,3.75
Honda Mobilio S i DTEC,494,Kochi,7,2015,17,50624,1,Diesel,Manual,1,First,0,24.2,1498,98.6,7,,6.32
Hyundai Verna 1.6 SX CRDI (O) AT,634,Bangalore,1,2018,20,75000,1,Diesel,Automatic,0,First,0,22.32,1582,126.32,5,,7.75
Ford Fiesta 1.6 ZXI Duratec,293,Chennai,2,2006,8,87000,4,Petrol,Manual,1,Second,2,15.3,1596,101,5,,1.37
Hyundai i10 Sportz 1.2,706,Mumbai,9,2010,12,62000,4,Petrol,Manual,1,First,0,20.36,1197,78.9,5,,2.1
Maruti Vitara Brezza ZDi,1182,Hyderabad,5,2016,18,41372,1,Diesel,Manual,1,First,0,24.3,1248,88.5,5,11.02 Lakh,9.3
Toyota Innova 2.5 VX (Diesel) 7 Seater,1761,Ahmedabad,0,2015,17,70000,1,Diesel,Manual,1,First,0,12.99,2494,100.6,7,,12
Mercedes-Benz GLA Class 200 d Sport,1286,Pune,10,2017,19,35000,1,Diesel,Automatic,0,First,0,17.9,2143,136,5,41.94 Lakh,23.5
Maruti Alto LXi BSIII,972,Hyderabad,5,2006,8,71993,4,Petrol,Manual,1,First,0,19.7,796,46.3,5,,1.8
Mercedes-Benz New C-Class C 220 CDI Elegance AT,1322,Chennai,2,2013,15,62000,1,Diesel,Automatic,0,Second,2,14.84,2143,170,5,,12.5
Maruti Swift LDI,1147,Delhi,4,2015,17,51000,1,Diesel,Manual,1,First,0,22.9,1248,74,5,,4.74
Hyundai Grand i10 Sportz,577,Kochi,7,2016,18,26038,4,Petrol,Manual,1,First,0,18.9,1197,82,5,,5.43
Toyota Fortuner 4x4 AT,1737,Kochi,7,2018,20,37713,1,Diesel,Automatic,0,Second,2,12.55,2982,168.5,7,,31.62
Toyota Innova 2.0 GX 8 STR,1743,Kolkata,8,2011,13,78088,4,Petrol,Manual,1,First,0,12.4,1998,132,8,,6.3
Ford EcoSport 1.5 TDCi Titanium,245,Kochi,7,2017,19,30453,1,Diesel,Manual,1,First,0,22.77,1498,98.59,5,,8.45
Ford Figo 1.2P Titanium MT,304,Pune,10,2016,18,54000,4,Petrol,Manual,1,First,0,18.16,1196,86.8,5,,5
Toyota Fortuner 3.0 Diesel,1731,Chennai,2,2011,13,190000,1,Diesel,Manual,1,First,0,11.5,2982,171,7,,13
Maruti Swift Dzire VXI,1138,Hyderabad,5,2012,14,65097,4,Petrol,Manual,1,First,0,19.1,1197,85.8,5,,4.7
BMW 7 Series 740Li,129,Coimbatore,3,2018,20,28060,4,Petrol,Automatic,0,First,0,12.05,2979,320,5,,93.67
Skoda Superb 1.8 TSI MT,1542,Pune,10,2012,14,282000,4,Petrol,Manual,1,First,0,13.14,1798,160,5,,3.3
Maruti Wagon R LXI Minor,1203,Jaipur,6,2009,11,111000,4,Petrol,Manual,1,Second,2,18.9,1061,67,5,,1.51
Renault Duster 110PS Diesel RxZ,1434,Kochi,7,2013,15,63295,1,Diesel,Manual,1,First,0,19.01,1461,108.45,5,,6.09
Maruti Ciaz VXi Plus,1030,Mumbai,9,2015,17,35770,4,Petrol,Manual,1,First,0,20.73,1373,91.1,5,,5.95
Hyundai Elantra CRDi SX,539,Hyderabad,5,2012,14,125928,1,Diesel,Manual,1,First,0,22.7,1582,126.24,5,,9
